35
 120.22 -14.92 147.58	 0.796 100 
 120.86 -14.42 173.05	 0.782 100 
 127.98 -14.31 195.60	 0.593 100 
 136.99 -14.25 213.31	 0.672 100 
 146.30 -14.12 231.86	 1.703 100 
 150.16 -14.13 267.64	 1.157 100 
 131.18 -14.28 282.39	 1.656 100 
 95.69 -14.68 275.90	 0.969 100 
 80.32 -15.09 257.62	 1.172 100 
 80.57 -15.24 230.20	 1.421 100 
 87.00 -14.80 197.61	 0.813 100 
 79.31 -14.68 182.73	 0.828 100 
 67.16 -14.78 177.62	 0.563 100 
 56.51 -14.96 177.95	 1.328 100 
 39.02 -15.40 192.55	 2.047 100 
 27.86 -15.56 240.32	 0.656 100 
 22.61 -15.67 258.53	 1.594 100 
 3.76 -14.62 285.05	 0.484 100 
 -4.55 -14.61 286.51	 0.469 100 
 -13.05 -14.70 284.88 0.922 	100 
 -26.22 -15.23 272.86 3.343 	100 
 -57.71 -15.64 183.71 0.485 	100
 -57.74 -15.60 169.34 0.562 	100 
 -53.55 -15.54 153.04 0.735 	100 
 -45.43 -15.52 131.96 6.125  100 
 -123.85 -15.52 -44.1 0.468 	100 
 -126.45 -15.54 -59.8 0.719 	100 
 -128.91 -15.54 -86.4 1.109 	100 
 -123.97 -15.26 -126. 0.672 	100 
 -112.53 -15.31 -147. 1.328 	100 
 -77.99 -15.53 -169.5 1.454  100 
 -29.59 -15.62 -171.7 0.593 	100 
 -8.35 -15.74 -172.32 0.485 	100 
 7.08 -15.67 -172.78	 0.609 100 
 24.09 -15.54 -174.66 1.031 	100 
 41.24 -15.53 -184.07 1.328 	100 
 44.79 -15.79 -208.70 1.266 	100 
 56.72 -15.29 -237.49 1.063 	100 
 78.02 -14.68 -260.11 0.859 	100 
 100.08 -14.75 -277.7 1.266 	100 
 127.38 -14.12 -284.5 0.75 	100 
 138.32 -14.29 -275.9 0.468 	100 
 142.15 -14.71 -267.5 0.907 	100 
 148.30 -15.39 -247.0 1.671 	100 
 160.65 -14.73 -198.8 0.563 	100 
 162.74 -14.31 -184.0 1.203 	100 
 155.79 -13.98 -163.2 1.688 	100 
 131.37 -14.21 -135.7 1.218 	100 
 122.74 -15.06 -102.4 3.766 	100 
 118.20 -15.53 36.75	 4.454 100
 
 121.92 -14.92 147.87	 0.765 100 
 124.13 -14.43 172.90	 0.688 100 
 128.70 -14.30 195.12	 0.594 100 
 137.68 -14.23 212.61	 0.734 100 
 151.06 -13.96 229.58	 1.75  100 
 152.56 -14.11 268.32	 1.125 100 
 132.21 -14.27 284.58	 1.641 100 
 96.75 -14.73 273.76	 0.859 100 
 81.27 -15.09 257.36	 1.172 100 
 78.31 -15.29 229.21	 1.437 100 
 86.11 -14.84 197.94	 1.047 100 
 78.30 -14.69 183.04	 0.75  100 
 68.31 -14.70 173.49	 0.844 100
 52.49 -14.85 171.54	 1.422 100
 36.66 -15.39 191.95	 1.89  100 
 26.68 -15.54 240.11	 0.594 100
 23.04 -15.69 258.36	 1.422 100 
 3.54 -14.65 284.71	 0.453 100 
 -4.57 -14.63 286.01	 0.453 100 
 -12.52 -14.70 283.97 0.844 	100 
 -23.89 -15.28 272.24 3.328 	100 
 -55.96 -15.64 183.23 0.485 	100 
 -56.31 -15.61 169.72 0.656 	100 
